path,label,hash,width,height,split
automatic-learning/melanoma/train/Benign/1.jpg,Benign,11958b640adfaa3c7d26287cbc04705d,224,224,train
automatic-learning/melanoma/train/Benign/10.jpg,Benign,7a560781b891e755e3dd8259798f76dd,224,224,train
automatic-learning/melanoma/train/Benign/100.jpg,Benign,4a8a2aa26620d5bd7bac36d6df79dd5f,224,224,train
automatic-learning/melanoma/train/Benign/1000.jpg,Benign,9700c8d1012bc31add4eec850924a3df,224,224,train
automatic-learning/melanoma/train/Benign/1001.jpg,Benign,232b3a74d9ac9a1df517b324d9f32fc9,224,224,train
automatic-learning/melanoma/train/Benign/1002.jpg,Benign,79ce2d4893047afeb108ade61cbe2c02,224,224,train
automatic-learning/melanoma/train/Benign/1003.jpg,Benign,68bd2d48ecc01ed7429442b9ec1249a4,224,224,train
automatic-learning/melanoma/train/Benign/1004.jpg,Benign,8980ae10ab21fb7ecb6fff4b0602b5e6,224,224,train
automatic-learning/melanoma/train/Benign/1005.jpg,Benign,401daa0a5bd93cbab944cf43c7823e1f,224,224,train
automatic-learning/melanoma/train/Benign/1006.jpg,Benign,61acd19afabb9f5e255231c5be5acee9,224,224,train
automatic-learning/melanoma/train/Benign/1007.jpg,Benign,6b95d96d620ae6c3ab96358d86713fa2,224,224,train
automatic-learning/melanoma/train/Benign/1008.jpg,Benign,2c6aef10174f78841a5cf28791837fc5,224,224,train
automatic-learning/melanoma/train/Benign/1009.jpg,Benign,a0d4047583a3202911404691fa662c3c,224,224,train
automatic-learning/melanoma/train/Benign/101.jpg,Benign,fcc9d6f0c14e22da628034d92b8e617b,224,224,train
automatic-learning/melanoma/train/Benign/1010.jpg,Benign,59fb0312141af9f88fdc72f3297d20a4,224,224,train
automatic-learning/melanoma/train/Benign/1011.jpg,Benign,84aa2ed394dc5e6de77b2685aec400ca,224,224,train
automatic-learning/melanoma/train/Benign/1012.jpg,Benign,72c527d2be853fb72fe3e7ea3abbe804,224,224,train
automatic-learning/melanoma/train/Benign/1013.jpg,Benign,86305810a8e4814abfa24c005fc0d93e,224,224,train
automatic-learning/melanoma/train/Benign/1014.jpg,Benign,35f2ffbfba584256ef41adbe008dddd8,224,224,train
automatic-learning/melanoma/train/Benign/1015.jpg,Benign,a9e1e7db3293aad794fa14095501a2b4,224,224,train
automatic-learning/melanoma/train/Benign/1016.jpg,Benign,44ab7464efeecc25a932f0d55c9938c4,224,224,train
automatic-learning/melanoma/train/Benign/1017.jpg,Benign,e24988f38cddecb1a9f33684c351b2b2,224,224,train
automatic-learning/melanoma/train/Benign/1018.jpg,Benign,6f9918adf93e9353a90e81f297a0b7e8,224,224,train
automatic-learning/melanoma/train/Benign/1019.jpg,Benign,9bef8c01390897c11a338bad8cc10743,224,224,train
automatic-learning/melanoma/train/Benign/102.jpg,Benign,e988f24550e8cce4736f42a5e0e112d4,224,224,train
automatic-learning/melanoma/train/Benign/1020.jpg,Benign,37f0095754afc58211b04664a8ba3a99,224,224,train
automatic-learning/melanoma/train/Benign/1021.jpg,Benign,5d619466d78fbdd300742823d04fff38,224,224,train
